Name,Brands,Price,Slashed_price,Discount_Price_Amount,Review,Reviews,Review_count,Discount,Discount_Percentage
Fire-Boltt Phoenix Pro 35.3mm,Fire-Boltt,"1,199","₹11,999₹11,999","11,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹11,999₹11,999 (90% off)",(90% off)
Fastrack Limitless FS2 Pro Smartwatch,Fastrack,"2,400","₹7,995₹7,995","7,995",4.0 out of 5 stars,4,"6,453","₹2,400₹2,400 M.R.P: ₹7,995₹7,995 (70% off)",(70% off)
Amazfit Active 42mm AMOLED Smart Watch,Amazfit,"7,999","₹19,999₹19,999","19,999",4.1 out of 5 stars,4.1,"2,630","₹7,999₹7,999 M.R.P: ₹19,999₹19,999 (60% off)",(60% off)
Fire-Boltt Phoenix Pro 35.3mm,Fire-Boltt,"1,199","₹11,999₹11,999","11,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹11,999₹11,999 (90% off)",(90% off)
boAt Xtend Plus Smart Watch w,boAt,"1,499","₹9,499₹9,499","9,499",4.0 out of 5 stars,4,"70,429","₹1,499₹1,499 M.R.P: ₹9,499₹9,499 (84% off)",(84% off)
Titan Smart 3 Premium Smart Watch,Titan,"4,990","₹11,995₹11,995","11,995",3.8 out of 5 stars,3.8,"1,386","₹4,990₹4,990 M.R.P: ₹11,995₹11,995 (58% off)",(58% off)
Noise ColorFit Pro 4 Alpha 1.78,Noise,"1,998","₹6,999₹6,999","6,999",4.1 out of 5 stars,4.1,"7,299","₹1,998₹1,998 M.R.P: ₹6,999₹6,999 (71% off)",(71% off)
Noise Vortex Plus 1.46 AMOLED Display,Noise,"1,899","₹6,999₹6,999","6,999",4.1 out of 5 stars,4.1,"2,076","₹1,899₹1,899 M.R.P: ₹6,999₹6,999 (73% off)",(73% off)
boAt Flash Edition Smart Watch w,boAt,899,"₹6,990₹6,990","6,990",3.9 out of 5 stars,3.9,"36,964","₹899₹899 M.R.P: ₹6,990₹6,990 (87% off)",(87% off)
Noise ColorFit Ultra 3 Bluetooth Calling S,Noise,"2,299","₹7,999₹7,999","7,999",4.2 out of 5 stars,4.2,"16,259","₹2,299₹2,299 M.R.P: ₹7,999₹7,999 (71% off)",(71% off)
Fire-Boltt ARC 49.8mm,Fire-Boltt,"1,699","₹2,100₹2,100","2,100",4.2 out of 5 stars,4.2,"1,159","₹1,699₹1,699 M.R.P: ₹2,100₹2,100 (19% off)",(19% off)
Noise ColorFit Pulse Grand Smart Watch wit,Noise,999,"₹3,999₹3,999","3,999",4.0 out of 5 stars,4,"120,377","₹999₹999 M.R.P: ₹3,999₹3,999 (75% off)",(75% off)
boAt Lunar Embrace w,boAt,"3,299","₹13,999₹13,999","13,999",4.2 out of 5 stars,4.2,154,"₹3,299₹3,299 M.R.P: ₹13,999₹13,999 (76% off)",(76% off)
Fire-Boltt Cobra Smart Watch 1.78,Fire-Boltt,"1,299","₹19,999₹19,999","19,999",3.9 out of 5 stars,3.9,"4,459","₹1,299₹1,299 M.R.P: ₹19,999₹19,999 (94% off)",(94% off)
CULTSPORT Ranger Xr 1.43,CULTSPORT,"2,499","₹9,999₹9,999","9,999",4.0 out of 5 stars,4,"1,379","₹2,499₹2,499 M.R.P: ₹9,999₹9,999 (75% off)",(75% off)
Fire-Boltt Onyx- 36.3mm AMOLED Always On D,Fire-Boltt,"2,299","₹21,000₹21,000","21,000",4.3 out of 5 stars,4.3,271,"₹2,299₹2,299 M.R.P: ₹21,000₹21,000 (89% off)",(89% off)
miracle digital Alpha Pro Premium Smartwat,miracle,"1,980","₹11,000₹11,000","11,000",4.1 out of 5 stars,4.1,18,"₹1,980₹1,980 M.R.P: ₹11,000₹11,000 (82% off)",(82% off)
NoiseFit Halo 1.43,NoiseFit,"2,399","₹7,999₹7,999","7,999",4.2 out of 5 stars,4.2,"14,611","₹2,399₹2,399 M.R.P: ₹7,999₹7,999 (70% off)",(70% off)
Fastrack Astor FR2 Pro Smartwatch with 1.4,Fastrack,"2,999","₹5,499₹5,499","5,499",4.0 out of 5 stars,4,"6,453","₹2,999₹2,999 M.R.P: ₹5,499₹5,499 (45% off)",(45% off)
Redmi Watch 5 Lite,Redmi,"3,499","₹6,999₹6,999","6,999",3.8 out of 5 stars,3.8,59,"₹3,499₹3,499 M.R.P: ₹6,999₹6,999 (50% off)",(50% off)
Fossil Gen 6,Fossil,"9,095","₹23,995₹23,995","23,995",3.6 out of 5 stars,3.6,"1,227","₹9,095₹9,095 M.R.P: ₹23,995₹23,995 (62% off)",(62% off)
OnePlus Watch 2R with Wear OS 4 by Google,OnePlus,"14,999","₹19,999₹19,999","19,999",4.3 out of 5 stars,4.3,93,"₹14,999₹14,999 M.R.P: ₹19,999₹19,999 (25% off)",(25% off)
Titan Celestor Smartwatch with 1.43” AMO,Titan,"9,989",0,0,3.8 out of 5 stars,3.8,"1,386","₹9,989₹9,989","(₹9,989₹9,989"
Noise Endeavour Rugged Design 1.46,Noise,"2,999","₹7,999₹7,999","7,999",4.1 out of 5 stars,4.1,"1,247","₹2,999₹2,999 M.R.P: ₹7,999₹7,999 (63% off)",(63% off)
Fastrack Magnus Fx3 Premium Metal Smartwat,Fastrack,"4,499","₹7,999₹7,999","7,999",3.9 out of 5 stars,3.9,"3,488","₹4,499₹4,499 M.R.P: ₹7,999₹7,999 (44% off)",(44% off)
